Code,Label,Year,Number of non-employing businesses,Number of employing businesses: 1-4 employees,Number of employing businesses: 5-19 employees,Number of employing businesses: 20 or more employees,Total number of businesses,Number of non-employing business entries,Number of employing business entries: 1-4 employees,Number of employing business entries: 5-19 employees,Number of employing business entries: 20 or more employees,Total number of business entries,Number of non-employing business exits,Number of employing business exits: 1-4 employees,Number of employing business exits: 5-19 employees,Number of employing business exits: 20 or more employees,Total number of business exits,"Agriculture, forestry and fishing (no.)",Mining (no.),Manufacturing (no.),"Electricity, gas, water and waste services (no.)",Construction (no.),Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.),Other services (no.),Currently unknown (no.),Number of businesses with turnover of zero to less than $50k,Number of businesses with turnover of $50k to less than $200k,Number of businesses with turnover of $200k to less than $2m,Number of businesses with turnover of $2m to less than $5m,Number of businesses with turnover of $5m to less than $10m,Number of businesses with turnover of $10m or more,Number of business entries with turnover of zero to less than $50k,Number of business entries with turnover of $50k to less than $200k,Number of business entries with turnover of $200k to less than $2m,Number of business entries with turnover of $2m to less than $5m,Number of business entries with turnover of $5m to less than $10m,Number of business entries with turnover of $10m or more,Number of business exits with turnover of zero to less than $50k,Number of business exits with turnover of $50k to less than $200k,Number of business exits with turnover of $200k to less than $2m,Number of business exits with turnover of $2m to less than $5m,Number of business exits with turnover of $5m to less than $10m,Number of business exits with turnover of $10m or more,Private sector houses (no.),Private sector dwellings excluding houses (no.),Total private sector dwelling units (no.),Total dwelling units (no.),Value of private sector houses ($m),Value of private sector dwellings excluding houses ($m),Total value of private sector dwelling units ($m),Value of residential building ($m),Value of non-residential building ($m),Value of total building ($m),Number of established house transfers (no.),Median price of established house transfers ($),Number of attached dwelling transfers (no.),Median price of attached dwelling transfers ($),Debtors entering business related personal insolvencies (no.),Debtors entering non-business related personal insolvencies (no.),Total debtors entering personal insolvencies (no.),Managers (no.),Professionals (no.),Technicians and trades workers (no.),Community and personal service workers (no.),Clerical and administrative workers (no.),Sales workers (no.),Machinery operators and drivers (no.),Labourers (no.),Debtors with other or unknown occupations (no.),Area of holding - total area (ha),Dairy cattle - total (no.),Meat cattle - total (no.),Sheep and lambs - total (no.),Pigs - total (no.),Meat chickens - total (no.),Broadacre crops - total area (ha),Vegetables - total area (ha),Orchard fruit trees and nut trees (produce intended for sale) - total area - (ha),Agricultural production - total gross value ($m),Crops - total gross value ($m),Livestock slaughtered and other disposals - total gross value ($m),"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing (%),"Electricity, gas, water and waste services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, postal and warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, hiring and real estate services (%)","Professional, scientific and technical services (%)",Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Industry of employment inadequately described or not stated (%),Total persons employed aged 15 years and over (no.),Houses - additions (no.),Houses - removals (no.),Houses - total (no.),Townhouses - additions (no.),Townhouses - removals (no.),Townhouses - total (no.),Apartments - additions (no.),Apartments - removals (no.),Apartments - total (no.),Total dwelling additions (no.),Total dwelling removals (no.),Total dwellings (no.)
304031094,Indooroopilly,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,9,2504,-,3,481,46,-,2122,64,12,5107
304031094,Indooroopilly,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,900000,114,430000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,13,2513,-,-,481,199,-,2321,221,13,5315
304031094,Indooroopilly,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,46,68,68,23,10,33,34,42,76,123,940000,111,433000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,14,2525,2,1,482,216,-,2537,244,15,5544
304031094,Indooroopilly,2020.0,775,291,121,35,1222,-,-,-,-,-,-,-,-,-,-,16,7,14,-,101,34,78,49,72,14,79,174,264,56,3,35,169,13,43,-,375,326,452,44,14,11,-,-,-,-,-,-,-,-,-,-,-,-,19,142,161,161,17,46,63,65,51,116,116,945270,92,467000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,11,2537,-,1,481,46,-,2583,69,12,5601
304031094,Indooroopilly,2021.0,724,360,111,39,1234,118,51,6,-,175,125,15,9,-,149,16,7,18,-,101,34,91,54,58,16,79,180,264,53,3,32,169,16,41,3,371,362,439,40,11,11,72,64,38,-,-,-,91,35,22,-,-,-,26,185,211,211,27,114,141,143,46,189,153,1135000,183,468000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,1.9,3.2,1.1,4.1,1.7,8.2,7,2.7,1.2,4.4,2.4,16.8,3.3,6,13.9,14.6,1.5,2.7,3,6930,17,24,2530,3,-,484,92,-,2675,112,24,5689
304031094,Indooroopilly,2022.0,763,375,104,42,1282,149,49,3,-,202,122,31,4,-,157,18,5,22,-,124,34,87,53,62,13,87,190,260,67,3,28,172,20,43,3,353,394,460,44,16,16,83,89,34,-,-,3,93,34,23,-,-,-,23,49,72,72,31,17,48,49,31,81,135,1400000,272,530000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,28,2526,50,2,532,165,2,2838,239,32,5896
304031094,Indooroopilly,2023.0,841,351,101,36,1329,156,65,4,-,227,124,39,4,-,169,19,5,20,3,121,34,84,53,64,10,82,207,282,60,3,30,178,22,52,-,341,437,479,42,12,18,83,97,46,-,-,3,91,51,21,-,-,3,17,185,202,202,18,71,89,91,51,142,106,1400000,145,580000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
304031094,Indooroopilly,2024.0,852,335,103,44,1336,186,61,4,-,245,145,40,11,-,198,17,5,25,-,128,29,90,53,64,10,87,216,254,63,4,27,191,21,49,3,359,412,481,50,12,24,85,105,51,3,-,-,84,62,50,-,-,-,25,10,35,35,34,6,40,42,26,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
304031095,Sherwood,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,2,5.6,1.1,4.5,3.8,7.1,4.6,4.1,1.4,4.8,1.9,14.4,3.3,9.7,12.9,12.2,1.6,2.7,1.8,2756,-,-,-,-,-,-,-,-,-,-,-,-
304031095,Sherwood,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,1.9,4.3,0.9,4.8,2.6,7.1,6.6,3.4,1.5,5.1,2,12.7,2.7,8,14.7,13.8,1.9,2.7,2.4,2951,-,-,-,-,-,-,-,-,-,-,-,-
304031095,Sherwood,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,12,1469,14,-,422,126,-,702,165,12,2603
304031095,Sherwood,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,905000,52,431500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,11,1477,8,-,430,139,-,841,166,11,2758
304031095,Sherwood,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,95,111,127,14,27,41,43,-,43,92,897500,48,417250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,9,1491,18,-,448,-,-,841,41,9,2790
304031095,Sherwood,2020.0,363,164,46,11,584,-,-,-,-,-,-,-,-,-,-,7,3,11,3,63,21,38,20,34,6,39,78,134,27,-,12,60,9,20,-,168,198,196,13,4,5,-,-,-,-,-,-,-,-,-,-,-,-,22,5,27,27,15,1,16,17,2,18,66,1037500,64,446250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,16,1495,-,-,448,101,-,942,121,16,2895
304031095,Sherwood,2021.0,342,194,46,12,594,53,28,-,-,83,58,10,-,-,68,7,3,10,3,52,18,35,24,31,7,42,71,142,22,-,13,82,7,25,-,160,208,200,19,4,3,33,36,14,-,-,-,35,20,10,-,-,-,14,16,30,30,13,7,20,21,1,22,99,1120000,99,411000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,1.5,4.2,0.8,4.6,2.4,7.9,5.5,3.6,1.4,4.7,2.4,14.4,2.5,7.1,13.5,15,2,2.9,3.3,3483,18,3,1510,5,-,453,14,-,956,37,3,2929
304031095,Sherwood,2022.0,351,196,63,10,621,61,36,3,-,100,52,18,-,-,71,6,-,17,3,50,17,36,25,24,5,44,78,151,27,3,13,87,12,33,-,152,202,239,19,5,3,33,42,18,-,-,-,33,17,9,-,-,-,13,28,41,41,15,7,21,23,1,24,104,1310000,96,450000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,9,1512,-,-,453,2,-,958,13,9,2933
304031095,Sherwood,2023.0,344,179,64,11,598,61,26,5,-,92,65,21,8,-,94,8,-,13,3,46,13,30,28,25,7,40,65,145,21,3,22,86,12,33,-,142,193,232,25,4,-,27,43,21,3,-,-,33,29,22,3,-,-,12,-,12,12,16,-,16,17,-,17,73,1350000,90,512000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
304031095,Sherwood,2024.0,354,175,60,8,594,69,24,-,-,94,53,23,4,-,82,9,-,11,3,47,14,29,30,25,5,40,57,146,18,3,15,90,9,31,-,131,201,233,24,4,3,26,37,26,-,-,-,37,22,14,-,-,-,14,20,34,34,19,8,27,28,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
304031096,St Lucia,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,1.8,2.9,0.9,2.3,1.7,10.3,11.7,1.4,1.2,3.2,1.7,14.9,3,5.3,20.1,11.4,1.8,1.7,2.1,4651,-,-,-,-,-,-,-,-,-,-,-,-
304031096,St Lucia,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6,1.5,2.2,0.4,2.1,1.5,9.6,12.3,1.6,1.4,2.7,2.3,12.4,3.4,4.3,22.9,11.5,2.2,2.4,2.9,4581,-,-,-,-,-,-,-,-,-,-,-,-
304031096,St Lucia,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,14,1450,4,-,256,5,-,2661,27,14,4367
304031096,St Lucia,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,1137500,133,451750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,11,1452,5,-,261,104,-,2765,122,11,4478
304031096,St Lucia,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,60,83,83,23,20,43,44,189,234,66,1220000,135,465000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,25,1442,35,-,296,17,4,2778,67,29,4516
304031096,St Lucia,2020.0,418,162,51,15,646,-,-,-,-,-,-,-,-,-,-,14,-,11,3,32,9,28,41,49,8,46,83,157,18,-,20,106,10,8,3,244,173,205,16,8,-,-,-,-,-,-,-,-,-,-,-,-,-,18,45,63,63,14,15,29,30,131,161,48,1325000,139,450000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,22,1441,6,-,302,52,-,2830,79,22,4573
304031096,St Lucia,2021.0,410,194,52,11,667,67,32,4,-,103,64,14,-,3,81,13,-,13,3,36,13,29,35,50,7,48,85,163,19,3,24,107,12,8,3,252,173,223,16,-,3,48,31,24,-,-,-,49,16,13,-,-,-,7,53,60,60,7,39,45,48,7,55,90,1525000,171,510000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,1.4,2.4,0.9,3.2,1.3,9.8,11.7,2.3,1.2,2.9,1.7,12.4,3.5,3.9,20.1,12.2,2.3,2.7,3.7,5874,14,8,1447,3,-,305,40,-,2870,57,8,4622
304031096,St Lucia,2022.0,421,174,61,10,668,79,37,3,-,120,74,22,3,-,95,11,-,7,3,38,16,37,39,38,8,49,89,157,19,-,19,106,14,9,-,231,188,222,20,7,3,47,53,23,-,-,-,52,13,13,-,-,-,18,-,18,18,21,-,21,22,49,71,69,1700000,260,535000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,17,1438,11,-,316,-,-,2870,19,17,4624
304031096,St Lucia,2023.0,468,165,49,16,698,109,21,-,-,131,83,20,5,-,108,10,-,11,3,43,23,39,39,62,10,38,87,151,22,-,22,111,16,9,-,206,220,248,16,6,3,39,66,26,-,-,-,59,27,19,-,-,-,8,7,15,15,12,1,13,14,16,30,60,1775000,191,561000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
304031096,St Lucia,2024.0,481,160,54,18,709,93,21,3,-,114,95,16,3,-,114,12,3,6,3,36,21,29,45,62,12,44,95,167,26,-,22,113,13,9,3,225,223,233,24,4,4,47,39,24,-,-,-,56,41,15,-,3,-,11,8,19,19,18,5,23,25,10,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
304031097,Taringa,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,2,3.3,0.8,3.7,2.5,8.4,7.7,2.5,1.7,4.8,1.9,17.7,3.2,6.8,14.3,12.6,1.7,2.4,1.9,4629,-,-,-,-,-,-,-,-,-,-,-,-
304031097,Taringa,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,1.5,2.3,0.8,4.3,2,8.5,7.7,2.6,1.6,4.9,2.2,15.9,3.7,6.3,15,13,2.1,2.6,2.3,4589,-,-,-,-,-,-,-,-,-,-,-,-
304031097,Taringa,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,11,1178,2,-,293,20,-,2743,36,11,4214
304031097,Taringa,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,867500,148,439250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,8,1186,11,-,304,21,-,2764,48,8,4254
304031097,Taringa,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,45,50,50,7,15,21,22,9,31,74,835500,133,400000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,1187,12,-,316,31,-,2795,51,7,4298
304031097,Taringa,2020.0,455,176,62,5,698,-,-,-,-,-,-,-,-,-,-,13,11,14,-,40,17,36,29,52,4,51,85,142,44,-,21,111,9,19,-,211,227,237,17,4,3,-,-,-,-,-,-,-,-,-,-,-,-,8,23,31,31,12,7,19,21,3,24,47,935000,137,398500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,1187,13,-,329,10,-,2805,30,7,4321
304031097,Taringa,2021.0,460,205,53,4,722,78,27,3,-,107,65,15,6,-,87,13,17,15,-,47,18,40,23,49,4,50,93,149,38,-,18,116,11,21,-,244,211,241,20,5,-,52,38,16,-,-,-,51,22,14,3,-,-,11,4,15,15,8,2,9,9,15,24,67,1200000,195,436750,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,1.4,2.5,0.9,4.3,1.8,7.4,7.6,2.6,1.4,4.4,2,16.1,3.6,5.7,15.5,14.6,2.1,2.9,3,5256,8,9,1186,1,-,330,23,-,2828,32,9,4344
304031097,Taringa,2022.0,473,214,58,9,761,91,33,5,-,126,85,14,-,-,95,11,17,20,-,59,20,42,20,45,6,45,96,152,46,-,22,127,11,19,-,233,241,257,20,4,3,57,46,27,-,-,-,48,22,14,-,3,3,11,26,37,37,14,12,26,27,1,28,74,1445000,214,486000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,15,1181,4,-,334,2,-,2830,16,15,4345
304031097,Taringa,2023.0,456,227,67,8,758,71,33,3,3,108,91,20,3,-,114,10,15,13,3,62,19,36,24,40,6,49,92,162,47,-,19,128,11,24,-,219,245,254,28,8,4,46,45,16,3,-,-,58,38,16,3,-,3,9,-,9,9,11,-,11,12,7,18,48,1565000,164,510000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
304031097,Taringa,2024.0,482,221,78,13,791,94,33,3,-,127,64,20,3,-,85,10,18,12,3,53,18,47,31,45,3,51,103,172,40,3,19,134,12,18,-,219,258,271,37,9,3,51,52,22,3,-,-,33,30,13,3,3,-,13,16,29,29,15,13,28,28,5,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
304041098,Enoggera,2011.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,1,3.5,0.9,5.5,1.8,7.2,5.2,3.3,2.1,3.5,1.2,9.1,2.6,29.2,6.7,10.5,1.6,2.9,2.1,4621,-,-,-,-,-,-,-,-,-,-,-,-
304041098,Enoggera,2016.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.9,2.9,0.7,4.7,1.6,6.6,5.3,3.4,1.4,3.3,1.5,9,2.4,29,9.1,11.6,1.3,2.8,2.4,4684,-,-,-,-,-,-,-,-,-,-,-,-
304041098,Enoggera,2017.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,12,1983,59,-,500,75,-,1280,158,12,3763
304041098,Enoggera,2018.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,705000,75,362000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,21,1984,20,-,520,6,-,1286,48,21,3790
304041098,Enoggera,2019.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,14,34,34,11,4,15,16,37,53,77,705000,61,365000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,10,1998,41,-,561,10,-,1296,75,10,3855
304041098,Enoggera,2020.0,283,171,55,12,521,-,-,-,-,-,-,-,-,-,-,4,-,30,-,87,16,27,12,45,5,18,39,116,22,-,14,29,15,40,-,130,178,186,9,11,7,-,-,-,-,-,-,-,-,-,-,-,-,23,8,31,31,12,2,14,16,3,18,96,728500,56,400125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,13,2006,13,-,574,-,-,1296,34,13,3876
